$30,Weekly Metro Card,09/20/13
$33,Miscellanous,09/20/13
$12,Food (Subway x2 & Nuts),09/22/13
$6,Food (Subway),09/23/13
$30,Work Pants,09/23/13
$3,Food (Nuts x2),09/24/13
$8,Food (Wendy's),09/25/13
$30,Weekly Metro Card,09/26/13
$5,Food (Deli Sandwich),09/26/13
$10,Food (Subway & Deli Sandwich),09/27/13
$12,Food (Mexican Restaurant),09/28/13
$13,Food (Chicken Wings & Chocolate),09/29/13
$9,Food (Pancakes),09/30/13
$5,Food (Coffee & Smoothie),09/30/13
$7,Food (Subway),10/02/13
$1,Water,10/02/13
$0,Monthly Metrocard ,10/01/13
$5,Food (Subway),10/03/13
$10,Food (McDonalds),10/04/13
$12,Food (Mexican Restaurant),10/05/13
$2,Food (Banana & Fiber One),10/05/13
$11,Food (Mexican Restaurant),10/07/13
$1,Food (Nature Valley),10/08/13
$7,Miscellanous,10/09/13
$7,Food (Chinese Food),10/09/13
$112,Monthly Metrocard Advance,10/10/13
$17,Food (Peruvian & Smoothie & Nature Valley),10/12/13
$35,Hollister,10/13/13
$78,Abercrombie & Fitch,10/13/13
$47,Food (Diner & Mexican & Subway),10/15/13
$17,Food (Chinese Food),10/16/13
$5,Food (Chinese Food),10/18/13
$1,Food (Banana & Oats n Honey),10/19/13
$1,Food (Nature Valley),10/20/13
$11,Food (Subway),10/21/13
$2,Food (Nature Valley),10/22/13
$53,Miscellanous,10/23/13
$6,Food (McDonalds),10/25/13
$8,Movie (Sunnyside),10/25/13
$112,Monthly Metrocard Advance,10/25/13
$7,Gel,10/26/13
$20,Backup Twenty,10/26/13
$21,Miscellanous,10/26/13
$24,Miscellanous,11/01/13
$30,Weekly Metrocard,11/02/13
$34,Red Lobster,11/03/13
$12,Contacts Solution,11/04/13
$16,Mexican Food,11/06/13
$17,Miscellanous,11/06/13
$10,Food (Chinese Buffet),11/09/13
$1,Food (Subway),11/10/13
$20,Backup Twenty,11/10/13
$5,Starbucks + Coffee,11/12/13
$6,Food (Chinese Food),11/13/13
$16,Miscellanous,11/13/13
$8,Food (Court Square Diner),11/19/13
$19,Candy,11/19/13
$30,Wen Hair Conditioner,11/20/13
$20,Backup Twenty,11/20/13
$10,Food (Mexican Restaurant),11/22/13
$25,H&M,11/23/13
$7,Food (Chinese Food),11/27/13
$5,Food (McDonalds),11/27/13
$20,Levi's,11/28/13
$112,Monthly Metrocard Advance,11/28/13
$4,Miscellanous,11/28/13
$33,VitaminShoppe,11/29/13
$25,Paul Mitchell Shampoo One,11/29/13
$23,Paul Mitchell The Condtioner,11/29/13
$7,Old Spice Bodywash,11/29/13
$1,Food (Nature Valley),11/29/13
$10,Food (Subway),12/01/13
$11,Stitch Plush,12/01/13
$3,Food (Nature Valley),12/02/13
$94,Canon 50mm f1.8,12/02/13
$2,Loofah Sponge,12/03/13
$15,Haircut,12/06/13
$15,Hunger Games: Catching Fire,12/06/13
$6,Food (Subway),12/06/13
$9,Miscellanous,12/06/13
$9,Food (Mexican Restaurant),12/09/13
$30,Food (Red lobster),12/12/13
$10,Food (Diner),12/13/13
$2,Food (Mexican Restaurant),12/13/13
$3,Starbucks,12/13/13
$8,Miscellanous,12/16/13
$12,Food,12/18/13
$11,Food (Mexican Restaurant),12/21/13
$23,American Eagle (Gift),12/22/13
$17,Food (Diner),12/23/13
$12,Banana Republic,12/23/13
$2,Food (Hot Dog),12/23/13
$54,Victoria's Secret (Gift),12/24/13
$38,Tom's (Gift),12/24/13
$65,SAT Test,12/24/13
$3,Food (Starbucks),12/25/13
$4,Food (Chinese Food),12/26/13
$2,Miscellanous,12/26/13
$112,Monthly Metrocard Advance,12/31/13
$6,Food (Diner),01/02/14
$5,Metrocard,01/03/14
$4,Food (Dunkin Donuts),01/04/14
$0,Food (Peruanos),01/04/14
$5,Miscellanous,01/06/14
$10,Water Bottle,01/06/14
$20,Backup Twenty,01/06/14
$9,Food (Subway),01/06/14
$6,Food (Subway),01/07/14
$1,Food (Nature Valley),01/08/14
$14,Food (Ridgewood Eats),01/08/14
$1,Food (Sunbelt Bakery),01/09/14
$1,Index Cards,01/09/14
$20,Backup Twenty,01/09/14
$20,GNC Shaker Cup x2,01/09/14
$1,Food (Power Bar),01/11/14
$23,Food (Nick's Pizza),01/11/14
$2,Candy,01/11/14
$4,Food (Chinese Food),01/13/14
$7,Food (Subway),01/13/14
$1,Food (Cucumbers),01/13/14
$65,CUNY Application,01/13/14
$15,Haircut,01/14/14
